post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,264,103,m-hodges,2026-04-14 01:06:06,0.3886792452830189,True
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,122,38,radeeyate,2026-04-14 01:07:07,0.3089430894308943,False
47749295,Show HN: Equirect – a Rust VR video player,sports,11,1,greggman65,2026-04-14 01:07:14,0.08333333333333333,False
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,77,24,jscalo,2026-04-14 01:07:40,0.3076923076923077,False
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,620,152,iceberger2001,2026-04-14 01:08:05,0.24476650563607086,True
47698111,Bevy game development tutorials and in-depth resources,sports,137,63,GenericCanadian,2026-04-14 01:08:31,0.45652173913043476,False
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,55,joko42,2026-04-14 01:08:45,0.23109243697478993,True
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,119,36,pruz,2026-04-14 01:11:42,0.3,False
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,262,278,speckx,2026-04-14 01:11:51,1.0570342205323193,True
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,6,russellharper,2026-04-14 01:12:03,0.20689655172413793,False
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 01:12:13,0.18181818181818182,False
47730916,QB64 Tutorial A beginner's introduction to game programming,sports,7,0,AlexeyBrin,2026-04-14 01:13:43,0.0,False
47717565,"Show HN: Steadcast – Free Mac podcast player for learning, not background noise",sports,7,2,steadcast,2026-04-14 01:14:58,0.25,False
47723499,Beyond Copy-and-Paste: How Game Studios Are Reorganizing Around AI (Research),sports,5,0,pella,2026-04-14 01:15:35,0.0,False
47733776,"Amazon Luna Will No Longer Allow Owners to Buy Games, Access Game Stores",sports,15,2,surgical_fire,2026-04-14 01:15:51,0.125,False
47753689,Building a CLI for All of Cloudflare,technology,172,46,soheilpro,2026-04-14 01:06:08,0.2658959537572254,False
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,365,220,kiyanwang,2026-04-14 01:06:30,0.6010928961748634,True
47755209,B-trees and database indexes (2024),technology,5,0,tosh,2026-04-14 01:06:35,0.0,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,222,96,dvaughan,2026-04-14 01:06:46,0.4304932735426009,True
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,1091,399,littlecranky67,2026-04-14 01:06:49,0.36538461538461536,True
47750259,Point Cloud Allemansrätten,technology,36,6,ColinWright,2026-04-14 01:06:54,0.16216216216216217,False
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,169,112,JanSchu,2026-04-14 01:06:57,0.6588235294117647,False
47754002,Missouri town fires half its city council over data center deal,technology,99,89,impish9208,2026-04-14 01:07:09,0.89,False
47743819,Basics of Radar Technology,technology,37,0,_Microft,2026-04-14 01:07:30,0.0,False
47741889,Show HN: Claudraband – Claude Code for the Power User,technology,114,42,halfwhey,2026-04-14 01:07:36,0.3652173913043478,False
47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,919,493,tradertef,2026-04-14 01:07:39,0.5358695652173913,True
47751265,Rockstar hackers set to release GTA 6 data breach as 'demands not met',technology,17,8,01-_-,2026-04-14 01:07:41,0.4444444444444444,False
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,technology,495,269,vidluther,2026-04-14 01:07:57,0.5423387096774194,True
47745120,Tech valuations are back to pre-AI boom levels,technology,143,40,akyuu,2026-04-14 01:08:03,0.2777777777777778,False
47729634,Now is the best time to write code by hand,technology,116,53,nickgreg,2026-04-14 01:08:04,0.452991452991453,False
47732402,The APL programming language source code (2012),technology,80,29,tosh,2026-04-14 01:08:08,0.35802469135802467,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,15,2,cvrajeesh,2026-04-14 01:06:09,0.125,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,485,275,a-ve,2026-04-14 01:06:38,0.565843621399177,True
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,231,82,Rochus,2026-04-14 01:06:53,0.35344827586206895,True
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,48,0,mooreds,2026-04-14 01:07:24,0.0,False
47724352,Filing the corners off my MacBooks,entertainment,1385,664,normanvalentine,2026-04-14 01:07:33,0.4790764790764791,True
47743700,European AI. A playbook to own it,entertainment,197,128,hjouneau,2026-04-14 01:08:11,0.6464646464646465,True
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 01:08:50,0.18421052631578946,False
47745300,Show HN: A social feed with no strangers,entertainment,8,5,rpatni,2026-04-14 01:09:09,0.5555555555555556,False
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 01:09:12,0.23717948717948717,False
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,88,39,chrisecker,2026-04-14 01:09:57,0.43820224719101125,False
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 01:10:03,0.22580645161290322,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,175,166,randerson_112,2026-04-14 01:10:06,0.9431818181818182,True
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 01:10:08,0.5416666666666666,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 01:10:13,0.5102040816326531,False
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,38,20,olleeolleeollee,2026-04-14 01:10:15,0.5128205128205128,False
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 01:10:34,0.2857142857142857,False
47750872,Servo is now available on crates.io,science,330,114,ffin,2026-04-14 01:06:11,0.34441087613293053,True
47737376,Phyphox – Physical Experiments Using a Smartphone,science,248,35,_Microft,2026-04-14 01:07:04,0.14056224899598393,True
47738343,The Physics of GPS,science,154,34,maouida,2026-04-14 01:07:28,0.21935483870967742,False
47753026,Categorization Is 'Baked' into the Brain,science,9,2,XzetaU8,2026-04-14 01:07:45,0.2,False
47731838,Keeping a Postgres Queue Healthy,science,115,28,tanelpoder,2026-04-14 01:07:56,0.2413793103448276,False
47746577,State of Homelab 2026,science,99,88,swq115,2026-04-14 01:08:13,0.88,False
47733561,447 TB/cm² at zero retention energy – atomic-scale memory on fluorographane,science,262,151,iliatoli,2026-04-14 01:08:17,0.5741444866920152,True
47730194,Cirrus Labs to join OpenAI,science,280,142,seekdeep,2026-04-14 01:08:22,0.505338078291815,True
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,172,74,smokel,2026-04-14 01:09:03,0.4277456647398844,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,11,thunderbong,2026-04-14 01:09:08,0.36666666666666664,False
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 01:09:23,0.047619047619047616,False
47741892,Homelab,science,11,0,taubek,2026-04-14 01:09:36,0.0,False
47735581,How a dancer with ALS used brainwaves to perform live,science,57,12,1659447091,2026-04-14 01:09:37,0.20689655172413793,False
47708818,Native Instant Space Switching on macOS,science,641,326,PaulHoule,2026-04-14 01:09:39,0.5077881619937694,True
47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,26,9,lexandstuff,2026-04-14 01:10:23,0.3333333333333333,False
47737899,Linux kernel doesn't care about your disk health,science,6,0,khazit,2026-04-14 01:11:37,0.0,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,433,276,neversaydie,2026-04-14 01:08:25,0.6359447004608295,True
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,10,0,1vuio0pswjnm7,2026-04-14 01:09:10,0.0,False
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,34,13,bookofjoe,2026-04-14 01:09:21,0.37142857142857144,False
47745230,Sam Altman's home targeted in second attack,worldnews,145,329,babelfish,2026-04-14 01:09:29,2.2534246575342465,False
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,284,135,jkl5xx,2026-04-14 01:09:33,0.47368421052631576,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 01:11:38,0.9338422391857506,True
47729994,Polymarket gamblers betting millions on war,worldnews,159,128,sandebert,2026-04-14 01:12:00,0.8,False
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 01:12:09,0.3870967741935484,False
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-14 01:12:14,0.5853658536585366,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 01:12:50,0.2633587786259542,True
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 01:13:05,0.5064935064935064,False
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,61,32,testing22321,2026-04-14 01:14:12,0.5161290322580645,False
47734106,AI Is Tipping the Scales Toward Hackers After Mythos Release,worldnews,15,7,thywis,2026-04-14 01:15:09,0.4375,False
47725942,Warez Scene,worldnews,25,7,maltalex,2026-04-14 01:15:11,0.2692307692307692,False
47737642,Lawyer behind AI psychosis cases warns of mass casualty risks,worldnews,13,6,mentalgear,2026-04-14 01:15:18,0.42857142857142855,False
47723539,Molotov cocktail attack at OpenAI CEO Sam Altman's home,worldnews,18,1,helloplanets,2026-04-14 01:15:23,0.05263157894736842,False
